Titre,Auteur,top_babelio,classement_babelio
Les Femmes du bout du monde,Mélissa Da Costa,1,1
Veiller sur elle,Jean-Baptiste Andrea,1,2
À tout jamais,Colleen Hoover,1,3
Le Silence et la Colère,Pierre Lemaitre,1,4
Une belle vie,Virginie Grimaldi,1,5
"Captive, tome 2",Sarah Rivens,1,6
La Faille,Franck Thilliez,1,7
"La Femme de ménage, tome 1",Freida McFadden,1,8
Ceci n'est pas un fait divers,Philippe Besson,1,9
L'Enragé,Sorj Chalandon,1,10
"Seasons, tome 1 : Un automne pour te pardonner",Morgane Moncomble,1,11
"Les Sept Soeurs, tome 8 : Atlas, l'histoire de Pa Salt",Lucinda Riley,1,12
Le Bureau d'éclaircissement des destins,Gaëlle Nohant,1,13
Sur la dalle,Fred Vargas,1,14
"Im not your soulmate, tome 1 : The Perfect Match",Lyla Mars,1,15
Trois vies par semaine,Michel Bussi,1,16
Un abri de fortune,Agnès Ledig,1,17
Un oeil dans la nuit,Bernard Minier,1,18
Conte de fées,Stephen King,1,19
La prochaine fois que tu mordras la poussière,Panayotis Pascot,1,20
La Petite-Fille,Bernhard Schlink,1,21
Triste tigre,Neige Sinno,1,22
Les Aiguilles dor,Michael McDowell,1,23
