Titre,Auteur,Co_auteur1,Co_auteur2,top_fnac_1,top_fnac_2_plus,Doublons
"Captive, Tome 2",Sarah Rivens,,,1,1,False
Le Suppléant,Prince Harry,,,1,1,False
À tout jamais,Colleen Hoover,,,1,1,False
Le Silence et la colère,Pierre Lemaitre,,,1,1,False
"Le Monde sans fin, miracle énergétique et dérive climatique",Christophe Blain,Jean-Marc Jancovici,,1,1,False
"Captive, Tome 1",Sarah Rivens,,,1,1,False
Plus jamais sans moi,Maud Ankaoua,,,1,1,False
"Captive, Tome 1.5 : Perfectly Wrong",Sarah Rivens,,,1,0,False
Le Mage du Kremlin,Giuliano Da Empoli,,,1,1,False
"Kaamelott, Tome 10, Karadoc Et L’Icosaèdre",Steven Dupré,Alexandre Astier,,1,0,False
"Astérix, Hors collection : L’Empire du milieu",Fabrice Tarrin,Olivier Gay,,1,0,False
Connaissance illimitée,Mohamed Boclet,,,1,0,False
"La Nuit où les étoiles ses sont éteintes, Tome 1",Nine Gorman,Marie Alhinho,,1,0,False
Blake et Mortimer,Avant Blake et Mortimer T2 : La Flèche ardente – Van Hamme,Cailleaux ,Schréder,1,0,False
Captive T1,Sarah Rivens,,,1,0,False
Les Femmes du bout du monde,Mélissa Da Costa,,,1,0,False
Trois vies par semaine,Michel Bussi,,,1,0,False
Les Éclats,Bret Easton Ellis,,,1,0,False
Astérix,Hors collection : L’Empire du milieu – Fabrice Tarrin,Olivier Gay,,1,0,False
La Nuit où les étoiles ses sont éteintes T1,Nine Gorman,Marie Alhinho,,1,0,False
L’envol,Aurélie Valognes,,,1,0,False
"Elles, Tome 3 : Plurielle(s)",Kid Toussaint,Aveline Stokart,,1,0,False
La Mariée portait des bottes jaunes,Katherine Pancol,,,1,1,False
"Les Pierres du cauchemar, Tome 2",Dooms,Sora,Dreamy,1,0,False
Pagny par Florent,Florent Pagny,,,1,1,False
Le Défi de Jérusalem,Éric-Emmanuel Schmitt,,,1,0,False
Un œil dans la nuit,Bernard Minier,,,1,0,False
Conte de fées,Stephen King,,,1,0,False
Mortelle Adèle : Le Journal des bizarres,Mr Tan,Diane Le Feyer,,1,0,False
Les Enquêtes d’Adamsberg : Sur la dalle,Fred Vargas,,,1,1,False
"Les Cahiers d’Esther, Tome 8 : Histoires de mes 17 ans",Riad Sattouf,,,1,0,False
Une belle vie,Virginie Grimaldi,,,1,1,False
La Faille,Franck Thilliez,,,1,1,False
"Les sept sœurs : Atlas, l’histoire de Pa Salt",Lucinda Riley,,,1,0,False
Rouge Karma,Jean-Christophe Grangé,,,1,0,False
Le Culte,Camilla Läckberg,Henrik Fexeus,,1,0,False
"Les Cahiers d’Esther, Tome8 : Histoires de mes 17 ans",Riad Sattouf,,,1,0,False
"Bleak,3 histoires d’horreur,Volume 2",Squeezie,,,1,0,False
"Mortelle Adèle, Tome 4 : V.I.B",Mr Tan,Diane Le Feyer,,1,0,False
"Elles, Tome 3 : Plurielle(s)",Kid Toussaint,Aveline Stokart,,1,0,False
"The Devil’s Sons, Tome 2",Chloé Wallerand,,,1,0,False
Fallen Angel,Camille Creati,,,1,1,False
Son odeur après la pluie,Cédric Sapin-Dufour,,,1,1,False
"À Contre-Sens, Tome 1 et Tome 2",Mercedes Ron,,,1,0,False
"Beyond The Story, 10 ans de souvenirs de BTS",Bangtang Boys,,,1,0,False
"Bleak, 3 histoires d’horreur Volume 2",Squeezie,,,1,0,False
Psychopompe,Amélie Nothomb,,,1,1,False
La prochaine fois que tu mordras la poussière,Panayotis Pascot,,,1,1,False
Le Jeu des tricheurs,Anita Rigins,,,1,0,False
Icebreaker,Hannah Grace,,,1,0,False
"Mon budget sur pilote automatique, Le Carnet",Maeva Derby,,,1,0,False
"Les 4 Saisons, Tome 1 : Un automne pour te pardonner",Morgane Moncomble,,,1,1,False
L’Homme des Mille Détours,Agnès Martin-Lugand,,,1,0,False
"Solo Leveling, Tome 11",Chugong,Dubu,,1,0,False
"Le Nom de la rose, Tome 1",Milo Manara,Umberto Eco,,1,0,False
Adieu Birkenau,Ginette Kolinka,,,1,0,False
Veiller sur elle,Jean-Baptiste Andrea,,,1,1,False
"Bellatrix, Tome 1",Léo,,,1,0,False
Happy Hours,Anna RVR,,,1,0,False
"Astérix, Tome 40 : L’Iris blanc",Didier Conrad,Fabcaro,,1,1,False
Blake & Mortimer : L’Art de la guerre,Floc’h,Jean-Luc Fromental,José-Luis Bocquet,1,0,False
Le Voyage de Shuna,Hayao Miyazaki,,,1,1,False
"Blacksad, Tome 7 : Alors, tout tombe (seconde partie)",Juan Diaz Canalès,Juanjo Guarnido,,1,1,False
"Mortelle Adèle, Tome 20 : J’apocalypse grave !",Mr Tan,Diane Le Feyer,,1,0,False
"Twisted, Tome 1 : Twisted Love",Ana Huang,,,1,1,False
La Mort n’existe pas,Stéphane Allix,,,1,0,False
La Femme en moi,Britney Spears,,,1,0,False
"Gaston Lagaffe, Tome 22 : Le retour de Lagaffe",Delaf,Franquin,,1,1,False
Astérix Tome 40 : L’Iris blanc,Didier Conrad,Fabcaro,,1,0,False
Histoire de Jérusalem,Vincent Lemire,Christophe Gaultier,,1,1,False
Triste tigre,Neige Sinno,,,1,1,False
"Largo Winch, Tome 24 : Le Centile d’or",Giacometti,Francq,,1,0,False
"Lou, Tome 2 : Sonata",Julien Neel,Carole Neel,,1,0,False
Ma vie sans gravité,Thomas Pesquet,,,1,0,False
"Mortelle Adèle et les reliques du chat lune, Tome 4",Mr Tan,Olivier Bonnassies,,1,0,False
"Lou ! Sonata, Tome 2",Julien Neel,Carole Neel,,1,0,False
