,Titres,Auteurs,Occurrences dans les sous-titres de vidéos
1,555,Hélène Gestern,86
8,argonne,Stéphane Emond ,1
19,avant que j'oublie,Anne Pauly,1
21,babel,R. F. Kuang,1
31,blizzard,Marie Vingtras,2
44,cent mille ans,Gaspard d’Allens,1
49,chavirer,Lola Lafon,1
61,conte de fées,Stephen King,2
80,des vivants,"Meltz,  Raphaël",4
101,fritz,Coline Pierré,1
117,héritage,Miguel Bonnefoy,18
122,j'ai oublié,Bulle Ogier,8
139,l'escalade,Dugomier,1
146,la chaleur,Victor Jestin,21
150,la colère,S. A. Cosby,34
159,la décision,"Tuil,  Karine",17
160,la dépendance,Rachel Cusk,5
161,la faille,Franck Thilliez,1
171,la grâce,Thibault de Montaigu,13
173,la maison,Emma Becker,62
190,la sentence,Louise Erdrich,5
193,la tentation,Luc Lang,8
198,la vraie vie,Adeline Dieudonné,8
202,le bon sens,Michel Bernard,4
207,le consentement,Vanessa Springora,2
209,le culte,"Camilla Läckberg, Henrik Fexeus",2
227,le lâche,Jarred McGinnis,4
236,le retournement,Manuel Carcassonne,1
262,les cinq,Mathieu Rochelle,16
264,les conditions idéales,Mokhtar Amoudi,2
288,les passagers,Gilles Verdet,1
293,les possibles,"Grimaldi,  Virginie",2
303,les éclats,Bret Easton Ellis,2
330,mon territoire,Tess Sharpe,4
348,nature humaine,Serge Joncour,1
351,noa,"Lévy,  Marc",4
370,panorama,Lilia Hassaine,2
371,papa,Hélène Delforge et Quentin Gréban,34
377,performance,Simon Liberati,14
399,révolution,Florent Grouazel,21
400,s'adapter,Clara Dupont-Monod,9
401,sa préférée,Sarah Jollien-Fardel,1
402,sabre,Emmanuel Ruben,7
423,tenir sa langue,Polina Panassenko,1
432,tombeaux,Annette Wieviorka,2
443,tueurs,Jean-Michel Espitallier,1
452,un miracle,"Mas,  Victoria",5
458,une belle vie,Virginie Grimaldi,2
476,western,Maria Pourchet,3
482,à la ligne,Joseph Ponthus,2
485,à tout jamais,Colleen Hoover,12
